index,assetsType,component_count,ema_avg_deviation,ema_max_deviation,issues
0G-USDT,Altcoins,4,0.2561,0.4209,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1760s > 300s
1INCH-EUR,Altcoins,3,0.1814,0.2174,AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 3001s > 300s
1INCH-USD,Altcoins,4,0.1776,0.3149,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1836s > 300s
1INCH-USDC,Altcoins,5,0.1696,0.2660,AL-5: ema_avg_update_lag 1797s > 300s
1INCH-USDT,Altcoins,5,0.1330,0.2005,AL-5: ema_avg_update_lag 1646s > 300s
2Z-EUR,Altcoins,5,0.1355,0.1909,AL-5: ema_avg_update_lag 1700s > 300s
2Z-USD,Altcoins,5,0.1326,0.1916,AL-5: ema_avg_update_lag 1162s > 300s
2Z-USDC,Altcoins,5,0.1313,0.1936,AL-5: ema_avg_update_lag 1163s > 300s
2Z-USDT,Altcoins,5,0.1403,0.2031,AL-5: ema_avg_update_lag 1659s > 300s
A-EUR,Altcoins,5,0.1962,0.2980,AL-5: ema_avg_update_lag 1742s > 300s
A-USD,Altcoins,5,0.2651,0.3673,AL-5: ema_avg_update_lag 1005s > 300s
A-USDC,Altcoins,5,0.1677,0.2343,AL-5: ema_avg_update_lag 1665s > 300s
A-USDT,Altcoins,5,0.2081,0.2923,AL-5: ema_avg_update_lag 1827s > 300s
AAPL-USDT,TradFi,5,0.1100,0.1736,TF-1: dxFeed available but not in components
AAVE-EUR,Altcoins,4,0.2733,0.3480,AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1881s > 300s
AAVE-TRY,Altcoins,3,0.1458,0.1687,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1689s > 300s
AAVE-USD,Altcoins,4,0.1354,0.1678,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1028s > 300s
AAVE-USDC,Altcoins,4,0.1578,0.1786,AL-5: ema_avg_update_lag 1669s > 300s
AAVE-USDT,Altcoins,4,0.1828,0.2097,AL-5: ema_avg_update_lag 1308s > 300s
ACE-USD,Altcoins,3,0.2112,0.3551,AL-5: ema_avg_update_lag 1596s > 300s
