index,exchange,symbol,conversion type(1× 2÷ 0 noConversion),conversionIndex,weight,tier value,priceMultiple,emaLagMs,uniqueExchangeAlias,chainId,tokenAddress,poolAddress,baseTokenAddress,quoteTokenAddress,subscribeName,sharesMultiplierSource,sharesMultiplierToken,sharesMultiplierBenchmark,conversionCheck
0G-USDT,Binance,0G/USDT,0,,0.4,4,1,0,,,,,,,,,,,TRUE
0G-USDT,Bitget,0G/USDT,0,,0.2,2,1,0,,,,,,,,,,,TRUE
0G-USDT,Mxc,0G/USDT,0,,0.2,2,1,0,,,,,,,,,,,TRUE
0G-USDT,Binance_LINEAR_PERPETUAL,0G/USDT,0,,0.2,2,1,0,,,,,,,,,,,TRUE
1INCH-EUR,OKX,1INCH/EUR,0,,0.571,4,1,0,,,,,,,,,,,TRUE
1INCH-EUR,Coinbase,1INCH/EUR,0,,0.429,3,1,0,,,,,,,,,,,TRUE
1INCH-USD,OKX,1INCH/USDT,1,USDT-USD,0.4,4,1,0,,,,,,,,,,,TRUE
1INCH-USD,Binance,1INCH/USDT,1,USDT-USD,0.4,4,1,0,,,,,,,,,,,TRUE
1INCH-USD,Gate,1INCH/USDT,1,USDT-USD,0.2,2,1,0,,,,,,,,,,,TRUE
AAPL-USDT,Ondo_TICKER,AAPL/USD,2,USDT-USD,0.25,2,1,0,,,,,,,,,,,TRUE
AAPL-USDT,Pyth,AAPL/USD,2,USDT-USD,0.25,2,1,0,,,,,,,,,,,TRUE
AAPL-USDT,Bitmart,AAPLX/USDT,0,,0.1,2,1,0,,,,,,,,,,,TRUE
AAPL-USDT,Gate_LINEAR_PERPETUAL,AAPLX/USDT,0,,0.2,2,1,0,,,,,,,,,,,TRUE
AAPL-USDT,OKX_PERPETUAL,AAPL-USDT/SWAP-SWAP,1,USDT/SWAP-USDT,0.2,2,1,0,,,,,,,,,,,TRUE
AAVE-EUR,OKX,AAVE/EUR,0,,0.333,4,1,0,,,,,,,,,,,TRUE
AAVE-EUR,Bitvavo,AAVE/EUR,0,,0.167,2,1,0,,,,,,,,,,,TRUE
AAVE-EUR,Coinbase,AAVE/EUR,0,,0.25,3,1,0,,,,,,,,,,,TRUE
AAVE-EUR,Kraken,AAVE/EUR,0,,0.25,3,1,0,,,,,,,,,,,TRUE
AAVE-TRY,Kucoin,AAVE/USDT,1,USDT-TRY,0.2,2,1,0,,,,,,,,,,,TRUE
AAVE-TRY,OKX,AAVE/USDT,1,USDT-TRY,0.4,4,1,0,,,,,,,,,,,TRUE
AAVE-TRY,Binance,AAVE/USDT,1,USDT-TRY,0.4,4,1,0,,,,,,,,,,,TRUE
AAVE-USD,OKX,AAVE/USDT,1,USDT-USD,0.308,4,1,0,,,,,,,,,,,TRUE
AAVE-USD,Coinbase,AAVE/USD,0,,0.231,3,1,0,,,,,,,,,,,TRUE
AAVE-USD,Binance,AAVE/USDT,1,USDT-USD,0.308,4,1,0,,,,,,,,,,,TRUE
AAVE-USD,Kucoin,AAVE/USDT,1,USDT-USD,0.154,2,1,0,,,,,,,,,,,TRUE
ACH-EUR,Bybit,ACH/USDT,1,USDT-EUR,1.0,3,1,0,,,,,,,,,,,TRUE
ACH-USD,Kucoin,ACH/USDT,1,USDT-USD,0.167,2,1,0,,,,,,,,,,,TRUE
ACH-USD,Gate,ACH/USDT,1,USDT-USD,0.167,2,1,0,,,,,,,,,,,TRUE
ACH-USD,Binance,ACH/USDT,1,USDT-USD,0.333,4,1,0,,,,,,,,,,,TRUE
ACH-USD,OKX,ACH/USDT,1,USDT-USD,0.333,4,1,0,,,,,,,,,,,TRUE
ACH-USDC,Binance,ACH/USDT,2,USDC-USDT,0.267,4,1,0,,,,,,,,,,,TRUE
ACH-USDC,Kucoin,ACH/USDT,2,USDC-USDT,0.133,2,1,0,,,,,,,,,,,TRUE
ACH-USDC,OKX,ACH/USDT,2,USDC-USDT,0.267,4,1,0,,,,,,,,,,,TRUE
ACH-USDC,Gate,ACH/USDT,2,USDC-USDT,0.133,2,1,0,,,,,,,,,,,TRUE
ACH-USDC,Bybit,ACH/USDT,2,USDC-USDT,0.2,3,1,0,,,,,,,,,,,TRUE
ACT-TRY,Binance,ACT/TRY,0,,0.5,4,1,0,,,,,,,,,,,TRUE
ACT-TRY,OKX,ACT/TRY,0,,0.5,4,1,0,,,,,,,,,,,TRUE
ACT-USDT,OKX,ACT/USDT,0,,0.333,4,1,0,,,,,,,,,,,TRUE
ACT-USDT,Binance,ACT/USDT,0,,0.333,4,1,0,,,,,,,,,,,TRUE
ACT-USDT,Bitget,ACT/USDT,0,,0.167,2,1,0,,,,,,,,,,,TRUE
ACT-USDT,Gate,ACT/USDT,0,,0.167,2,1,0,,,,,,,,,,,TRUE
ADA-EUR,Bitvavo,ADA/EUR,0,,0.125,2,1,0,,,,,,,,,,,TRUE
ADA-EUR,Kraken,ADA/EUR,0,,0.188,3,1,0,,,,,,,,,,,TRUE
ADA-EUR,OKX,ADA/EUR,0,,0.25,4,1,0,,,,,,,,,,,TRUE
ADA-EUR,Coinbase,ADA/EUR,0,,0.188,3,1,0,,,,,,,,,,,TRUE
ADA-EUR,Binance,ADA/EUR,0,,0.25,4,1,0,,,,,,,,,,,TRUE
ADA-TRY,Binance,ADA/TRY,0,,0.667,4,1,0,,,,,,,,,,,TRUE
ADA-TRY,BTCTurk,ADA/TRY,0,,0.333,2,1,0,,,,,,,,,,,TRUE
AERGO-EUR,OKX,AERGO/USDT,1,USDT-EUR,0.667,4,1,0,,,,,,,,,,,TRUE
AERGO-EUR,Gate,AERGO/USDT,1,USDT-EUR,0.333,2,1,0,,,,,,,,,,,TRUE
AERGO-USD,OKX,AERGO/USDT,1,USDT-USD,0.667,4,1,0,,,,,,,,,,,TRUE
AERGO-USD,Gate,AERGO/USDT,1,USDT-USD,0.333,2,1,0,,,,,,,,,,,TRUE
AERGO-USDC,Gate,AERGO/USDT,2,USDC-USDT,0.333,2,1,0,,,,,,,,,,,TRUE
AERGO-USDC,OKX,AERGO/USDT,2,USDC-USDT,0.667,4,1,0,,,,,,,,,,,TRUE
AERGO-USDT,Gate,AERGO/USDT,0,,0.333,2,1,0,,,,,,,,,,,TRUE
